dataset_id,domain,artifact_type,compressed_uncompressed,compression_status_source,block_size_bytes,scenario,pairs,old_size_mean_bytes,old_size_median_bytes,old_size_min_bytes,old_size_max_bytes,new_size_mean_bytes,new_size_median_bytes,new_size_min_bytes,new_size_max_bytes
smartota-alpine-expanded,os_rootfs,compressed_rootfs_tar,compressed,release_artifact_tar_gz_suffix,16384,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,1,3487168.0,3487168.0,3487168,3487168,3509360.0,3509360.0,3509360,3509360
smartota-alpine-expanded,os_rootfs,compressed_rootfs_tar,compressed,release_artifact_tar_gz_suffix,65536,Alpine minirootfs compressed release transition 3.20.0 to 3.21.0 for the small Linux real-artifact baseline,1,3487168.0,3487168.0,3487168,3487168,3509360.0,3509360.0,3509360,3509360
smartota-alpine-rootfs,os_rootfs,rootfs_tar,uncompressed,derivation_normalized_uncompressed_tar,16384,Normalized uncompressed Alpine rootfs tar derived from minirootfs 3.20.0 to 3.21.0 for rootfs-level OTA planning,1,8079360.0,8079360.0,8079360,8079360,8130560.0,8130560.0,8130560,8130560
smartota-alpine-rootfs,os_rootfs,rootfs_tar,uncompressed,derivation_normalized_uncompressed_tar,65536,Normalized uncompressed Alpine rootfs tar derived from minirootfs 3.20.0 to 3.21.0 for rootfs-level OTA planning,1,8079360.0,8079360.0,8079360,8079360,8130560.0,8130560.0,8130560,8130560
smartota-automotive,autoware_style_av_stack,autoware_module_tar,uncompressed,deterministic_tar_derivation,4096,autoware_style_perception_module_update,1,40960.0,40960.0,40960,40960,51200.0,51200.0,51200,51200
smartota-automotive,autoware_style_av_stack,autoware_module_tar,uncompressed,deterministic_tar_derivation,16384,autoware_style_perception_module_update,1,40960.0,40960.0,40960,40960,51200.0,51200.0,51200,51200
smartota-automotive,autoware_style_av_stack,autoware_module_tar,uncompressed,deterministic_tar_derivation,65536,autoware_style_perception_module_update,1,40960.0,40960.0,40960,40960,51200.0,51200.0,51200,51200
smartota-container-layers,container_av_perception,perception_container_tar,uncompressed,deterministic_tar_derivation,4096,containerized_yolo_perception_update,1,20480.0,20480.0,20480,20480,20480.0,20480.0,20480,20480
smartota-container-layers,container_av_perception,perception_container_tar,uncompressed,deterministic_tar_derivation,16384,containerized_yolo_perception_multiblock_update,1,3430400.0,3430400.0,3430400,3430400,3696640.0,3696640.0,3696640,3696640
smartota-container-layers,container_av_perception,perception_container_tar,uncompressed,deterministic_tar_derivation,16384,containerized_yolo_perception_update,1,20480.0,20480.0,20480,20480,20480.0,20480.0,20480,20480
smartota-container-layers,container_av_perception,perception_container_tar,uncompressed,deterministic_tar_derivation,65536,containerized_yolo_perception_multiblock_update,1,3430400.0,3430400.0,3430400,3430400,3696640.0,3696640.0,3696640,3696640
smartota-container-layers,container_av_perception,perception_container_tar,uncompressed,deterministic_tar_derivation,65536,containerized_yolo_perception_update,1,20480.0,20480.0,20480,20480,20480.0,20480.0,20480,20480
